architecture,optimizer,activation,training accuracy,testing accuracy,time elapsed
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,CELU(alpha=1.0),80.64199829101562,72.94999694824219,390
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.adam.Adam'>,Softplus(beta=1; threshold=20),70.81800079345703,66.15999603271484,401
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,ELU(alpha=1.0),67.66199493408203,64.70999908447266,963
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,LeakyReLU(negative_slope=0.01),86.93599700927734,81.52999877929688,963
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,ReLU(inplace=True),87.05199432373047,81.19999694824219,963
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,PReLU(num_parameters=1),64.88600158691406,61.459999084472656,964
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,CELU(alpha=1.0),66.41199493408203,62.529998779296875,964
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.sgd.SGD'>,Softplus(beta=1; threshold=20),75.99199676513672,72.62999725341797,962
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,ELU(alpha=1.0),10.0,10.0,272
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,LeakyReLU(negative_slope=0.01),10.0,10.0,274
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,ReLU(inplace=True),10.0,10.0,274
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,PReLU(num_parameters=1),57.04399871826172,56.22999954223633,274
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,CELU(alpha=1.0),10.0,10.0,274
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.sgd.SGD'>,Softplus(beta=1; threshold=20),10.0,10.0,274
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,ELU(alpha=1.0),58.045997619628906,57.72999954223633,382
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,LeakyReLU(negative_slope=0.01),81.65999603271484,74.91999816894531,382
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,ReLU(inplace=True),69.2699966430664,63.65999984741211,382
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,PReLU(num_parameters=1),76.46399688720703,72.18999481201172,387
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,CELU(alpha=1.0),53.66999816894531,53.369998931884766,382
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.sgd.SGD'>,Softplus(beta=1; threshold=20),13.257999420166016,13.40999984741211,383
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),18.7239990234375,18.600000381469727,983
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),10.45199966430664,10.469999313354492,984
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),10.069999694824219,10.079999923706055,982
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),11.309999465942383,11.219999313354492,980
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),18.49799919128418,18.649999618530273,1013
<function vgg16_bn at 0x7fdafed5a048>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),9.995999336242676,10.0,1010
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),10.0,10.0,290
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),10.0,10.0,282
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),10.0,10.0,282
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),28.945999145507812,30.279998779296875,296
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),10.0,10.0,296
<class 'src.alexnet.AlexNet'>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),10.0,10.0,296
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,ELU(alpha=1.0),30.369998931884766,29.959999084472656,395
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,LeakyReLU(negative_slope=0.01),72.86599731445312,70.04000091552734,398
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,ReLU(inplace=True),71.26399993896484,68.40999603271484,396
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,PReLU(num_parameters=1),53.42599868774414,52.13999938964844,406
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,CELU(alpha=1.0),38.577999114990234,38.2599983215332,388
<function resnet18 at 0x7fdafed557b8>,<class 'torch.optim.rmsprop.RMSprop'>,Softplus(beta=1; threshold=20),10.51200008392334,10.449999809265137,395
